id,Filename,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,n1,n2,N1,N2,Len,Voc,Vol,Dif,Eff,AllocOps,DeallocOps,DerefUse,UniqueDerefUse,DerefSet,UniqueDerefSet,AgingRelatedBugs
1,storage/innobase/btr/btr0btr.c,11.00,40.00,10.00,606.14,1932.29,722.14,8.00,8.00,8.00,2.00,57.00,11.00,38.36,10.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3080.57,563.14,1750.29,482.79,961.93,694.14,189.00,53.00,0.00,0.00,1051.14,1322.71,259.79,77.00,985.93,0.00,0.00,0.00,0.00,0.00,62.00,62.00,66.00,0.00,0.00,0.00,0.00,0.00,0.40,346.57,346.57,362.57,92.71,532.57,1486.14,4278.64,3840.57,8119.21,2018.71,48798.00,612.14,1294678.57,0.00,0.00,75.00,29.00,9.00,6.00,0
2,storage/innobase/btr/btr0cur.c,15.93,53.93,14.21,774.07,2429.75,888.00,11.00,11.00,12.00,2.00,79.00,15.93,51.00,14.21,0.00,0.00,0.00,0.00,0.00,0.00,44.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3856.68,774.07,2287.07,616.00,1273.43,880.00,62.86,85.82,0.00,0.00,1300.29,1690.07,345.57,94.07,1250.43,0.00,0.00,0.00,0.00,0.00,72.00,72.00,72.00,0.00,0.00,0.00,0.00,0.00,0.38,469.79,468.64,507.86,112.50,711.71,1898.43,5772.71,4940.29,10713.00,2610.14,67150.50,882.86,2031388.79,0.00,0.00,173.50,76.21,49.00,27.93,0
3,storage/innobase/btr/btr0pcur.c,11.00,32.00,7.00,134.00,324.57,133.00,10.00,10.00,10.00,1.00,47.00,11.00,29.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,564.57,132.00,293.57,64.79,172.79,133.00,19.00,15.00,0.00,0.00,202.57,272.57,32.79,13.00,226.79,0.00,0.00,0.00,0.00,0.00,25.00,25.00,28.00,0.00,0.00,0.00,0.00,0.00,0.45,95.00,95.00,103.00,17.00,112.00,305.57,799.14,710.93,1510.07,417.57,8726.50,122.00,146078.00,0.00,0.00,57.00,14.00,34.00,9.00,0
4,storage/innobase/btr/btr0sea.c,20.00,60.07,11.89,398.61,1113.82,317.04,13.00,13.00,15.00,3.00,88.11,19.04,54.07,11.00,0.00,0.00,0.00,0.00,0.00,0.00,17.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1759.54,389.61,982.96,206.64,628.57,308.04,82.93,66.93,0.00,0.00,595.29,783.00,135.71,17.96,629.32,0.00,0.00,0.00,0.00,0.00,38.00,38.00,40.00,0.00,0.00,0.00,0.00,0.00,0.31,229.64,229.64,269.64,57.96,325.50,820.79,2835.21,2297.61,5132.82,1146.29,32102.00,451.79,1123430.00,0.00,0.00,280.61,76.82,76.96,22.00,0
5,storage/innobase/buf/buf0buf.c,12.00,37.64,8.00,539.46,1516.89,628.18,6.00,6.00,7.00,1.00,55.64,12.00,34.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2606.36,478.11,1190.68,195.93,800.21,608.64,314.75,93.36,0.00,0.00,654.25,840.64,90.93,55.00,694.71,0.00,0.00,0.00,0.00,0.00,31.46,31.46,32.93,0.00,0.00,0.00,0.00,0.00,0.52,216.86,207.86,233.86,67.00,422.82,1072.25,2998.96,2483.89,5482.86,1495.07,33375.18,436.96,805282.68,0.00,9.00,257.46,57.00,136.00,33.00,0
6,storage/innobase/buf/buf0flu.c,14.00,37.00,9.00,267.00,654.89,234.61,12.00,12.00,13.00,2.00,58.00,14.00,34.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1128.14,263.96,580.64,94.79,374.86,230.32,47.04,36.36,0.00,0.00,397.64,549.64,46.79,34.00,468.86,0.00,0.00,0.00,0.00,0.00,40.00,40.00,40.00,0.00,0.00,0.00,0.00,0.00,0.40,199.07,199.07,222.07,37.00,257.00,464.29,1560.64,1235.43,2796.07,721.29,16265.64,315.00,511447.79,0.00,1.00,219.00,48.00,28.00,18.00,0
7,storage/innobase/buf/buf0lru.c,10.82,31.82,7.96,276.46,729.96,251.39,15.86,15.86,16.82,1.00,49.61,10.82,30.79,7.96,0.00,0.00,0.00,0.00,0.00,0.00,19.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1234.79,240.46,592.00,100.00,372.00,240.39,153.00,32.96,0.00,0.00,543.43,758.18,49.93,60.89,647.36,0.00,0.00,0.00,0.00,0.00,49.00,49.00,51.00,0.00,0.00,0.00,0.00,0.00,0.41,303.54,303.54,319.43,36.93,260.54,509.39,1432.18,1187.00,2619.18,769.93,15049.18,293.64,321732.64,0.00,13.00,220.07,44.39,76.96,40.96,0
8,storage/innobase/buf/buf0rea.c,21.00,64.54,23.00,143.54,405.54,202.54,10.00,10.00,13.00,3.00,104.00,21.00,58.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,726.61,143.54,349.54,72.54,226.00,202.54,28.00,28.00,0.00,0.00,166.54,220.54,43.54,1.00,176.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,27.00,0.00,0.00,0.00,0.00,0.00,0.58,58.00,58.00,76.00,23.00,121.00,275.00,838.07,670.61,1508.68,396.00,9364.93,141.54,286950.14,0.00,0.00,54.00,15.00,2.00,1.00,0
9,storage/innobase/data/data0data.c,4.00,18.00,4.00,143.00,423.00,159.00,4.00,4.00,4.00,1.00,25.00,4.00,18.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,681.00,130.00,378.00,115.00,184.00,144.00,54.00,17.00,0.00,0.00,195.00,270.00,56.00,7.00,207.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,21.00,0.00,0.00,0.00,0.00,0.00,0.38,89.00,89.00,94.00,35.00,216.00,346.00,873.00,718.00,1591.00,562.00,8577.00,202.00,183759.00,0.00,0.00,50.00,18.00,14.00,6.00,0
10,storage/innobase/data/data0type.c,4.00,20.57,5.00,55.29,176.86,94.00,10.57,9.00,11.57,1.00,28.14,4.00,20.14,5.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,304.14,55.29,168.86,42.00,98.86,90.00,6.00,7.00,0.00,0.00,106.57,169.86,13.00,1.00,155.86,0.00,0.00,0.00,0.00,0.00,27.00,27.00,27.57,0.00,0.00,0.00,0.00,0.00,0.54,82.29,73.00,90.29,10.00,82.00,120.57,349.00,253.14,602.14,202.57,3215.00,77.00,52801.00,0.00,0.00,21.00,6.00,0.00,0.00,0
11,storage/innobase/dict/dict0boot.c,12.00,34.00,7.00,100.00,253.00,76.00,2.00,2.00,2.00,1.00,53.00,12.00,32.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,425.00,100.00,227.00,36.00,168.00,76.00,5.00,25.00,0.00,0.00,149.00,164.00,24.00,4.00,136.00,0.00,0.00,0.00,0.00,0.00,11.00,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.33,17.00,17.00,17.00,12.00,60.00,202.00,718.00,667.00,1385.00,262.00,8632.00,69.00,191008.00,0.00,0.00,8.00,3.00,14.00,3.00,0
12,storage/innobase/dict/dict0crea.c,16.00,40.00,11.00,360.00,855.00,284.00,4.00,4.00,4.00,2.00,64.00,16.00,39.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1450.00,360.00,829.00,183.00,533.00,284.00,4.00,26.00,0.00,0.00,486.00,569.00,104.00,26.00,439.00,0.00,0.00,0.00,0.00,0.00,13.00,13.00,15.00,0.00,0.00,0.00,0.00,0.00,0.34,89.00,89.00,93.00,54.00,277.00,804.00,2103.00,1877.00,3980.00,1081.00,23157.00,311.00,405371.00,0.00,0.00,134.00,51.00,59.00,22.00,0
13,storage/innobase/dict/dict0dict.c,8.68,30.96,7.96,859.96,2643.43,985.61,7.00,7.00,8.00,2.00,44.29,8.00,30.00,7.96,0.00,0.00,0.00,0.00,0.00,0.00,82.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4258.29,849.96,2534.43,646.25,1400.89,970.61,68.00,73.00,0.00,0.00,1471.32,1970.68,297.54,126.07,1547.07,0.00,0.00,0.00,0.00,0.00,68.00,68.00,76.00,0.00,0.00,0.00,0.00,0.00,0.38,582.86,581.79,632.32,225.75,1069.21,1938.64,6290.64,4851.14,11141.79,3007.86,66869.43,1170.11,2421530.61,0.00,0.00,536.14,182.50,161.11,82.25,1
14,storage/innobase/dict/dict0load.c,21.25,60.43,11.75,324.71,858.21,220.79,17.00,17.00,18.25,2.00,91.25,21.00,58.50,11.75,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1376.46,320.71,822.21,204.00,526.36,220.79,23.00,18.00,0.00,0.00,684.39,850.96,156.50,19.00,675.46,0.00,0.00,0.00,0.00,0.00,39.00,39.00,40.00,0.00,0.00,0.00,0.00,0.00,0.27,234.57,234.57,253.14,38.57,242.57,859.82,2429.86,1982.89,4412.75,1102.39,28910.29,265.04,681754.46,0.00,0.00,81.25,31.50,14.75,6.25,0
